91	49	46
34	28	19
25	16	11
20	23	18
14	34	7
42	50	7
19	3	10
11	23	14
38	27	44
9	43	3
47	41	14
28	25	26
47	7	35
18	18	10
50	22	15
5	9	7
29	6	13
4	31	40
47	15	9
21	29	37
46	43	50
39	24	8
43	40	37
29	26	8
21	5	31
15	33	38
38	44	31
5	36	39
5	36	46
48	28	45
6	28	50
43	45	50
35	13	10
38	25	41
41	44	14
40	34	49
3	7	45
5	5	32
19	9	21
38	45	3
17	3	18
29	32	45
27	50	25
22	19	10
13	6	43
4	22	15
31	18	22
26	12	7
19	26	47
33	4	31
3	20	44
43	20	6
16	13	47
16	8	7
44	11	45
43	11	29
18	18	33
36	30	25
28	26	11
47	18	37
19	10	4
41	35	14
50	8	37
30	4	33
12	6	45
48	9	27
10	32	25
27	4	19
31	3	15
6	30	42
20	15	20
13	22	24
4	4	38
15	23	42
17	33	33
24	23	9
30	26	39
9	23	49
12	21	11
10	8	12
11	19	5
28	6	49
48	46	47
3	5	23
12	3	32
28	22	49
12	45	21
34	38	15
4	23	25
5	11	33
27	43	4
44	27	27
30	39	38
29	24	22
37	32	50
8	25	40
20	15	22
36	6	42
24	18	46
20	7	23
25	12	3
50	8	39
40	25	13
42	15	6
34	20	10
23	30	26
15	33	13
45	36	6
37	24	18
50	11	50
40	33	26
23	36	18
24	22	6
34	29	23
39	24	45
15	15	35
32	26	46
40	29	11
38	19	3
6	10	35
48	12	34
31	40	45
42	43	21
12	46	47
7	29	18
37	34	7
25	6	35
20	13	49
13	47	30
39	47	41
20	34	24
13	47	29
38	5	15
15	31	5
24	41	24
17	8	6
37	47	31
43	28	24
8	24	43
3	27	12
6	38	14
37	34	46
31	15	35
33	36	46
50	42	3
33	33	20
23	45	22
23	39	3
14	36	47
4	30	35
27	11	38
36	9	6
10	5	11
34	30	18
40	24	38
22	42	33
15	5	48
35	48	32
6	35	43
18	29	30
8	34	49
10	24	32
50	29	7
12	28	21
46	47	14
44	18	13
4	17	40
34	31	42
39	25	42
12	46	18
8	28	15
14	11	18
23	9	25
26	16	33
6	20	8
37	39	23
3	28	40
44	29	27
14	18	4
5	4	21
20	25	28
15	30	29
25	5	14
47	9	23
28	35	6
47	18	5
15	23	39
24	24	23
40	28	33
39	42	36
37	50	19
13	49	3
50	13	43
10	32	10
45	8	46
19	12	33
8	27	36
33	4	5
24	9	29
50	48	24
34	3	30
48	39	40
50	33	32
8	15	50
50	16	27
9	22	43
15	9	27
38	26	39
28	24	23
6	15	12
9	35	25
42	30	19
19	26	36
15	45	22
26	3	42
35	41	37
17	4	3
16	28	14
50	10	30
39	39	31
12	48	25
38	27	50
47	29	43
45	35	32
28	27	40
16	46	19
18	16	48
43	49	32
45	36	44
12	13	45
9	32	50
8	43	39
12	29	48
10	42	49
26	48	40
48	28	21
20	17	25
11	15	13
40	42	47
42	19	43
32	29	21
41	41	29
25	42	35
33	19	27
40	33	17
9	19	49
46	8	9
50	22	49
49	40	19
41	45	28
37	42	36
47	35	10
3	22	4
32	30	25
4	5	11
12	42	9
25	9	20
19	12	28
33	16	19
34	40	22
14	21	46
9	26	14
11	49	38
28	31	37
5	36	12
